name,Athletic_rank,play_or_not,start_age,end_age,start_year,end_year,n_seasons,championships,FMVP,MVP,MVP_2,MVP_3,western_conference_champions,eastern_conference_champions,western_playoffs_mvp,eastern_playoffs_mvp,in_season_tournament_championship,IMVP,in_season_team,leading_scores,leading_scores_2,leading_scores_3,leading_rebounds,leading_rebounds_2,leading_rebounds_3,leading_assists,leading_assists_2,leading_assists_3,leading_steals,leading_steals_2,leading_steals_3,leading_blocks,leading_blocks_2,leading_blocks_3,DPOY,DPOY_2,DPOY_3,rookie_of_year,all_rookie_team_1,all_rookie_team_2,rookie_challenge_MVP,all_NBA_team_1,all_NBA_team_2,all_NBA_team_3,all_defensive_team_1,all_defensive_team_2,all_star_voting_1,all_star_voting_2,all_star_voting_3,western_all_star,eastern_all_star,AMVP,ABA_championship,ABA_playoff_MVP,ABA_MVP,ABA_rookie_of_year,all_ABA_team_1,ABA_all_defensive_team_1,all_ABA_team_2,ABA_all_rookie_team_1,monthly_best,weekly_best,rookie_of_month,Olympic_gold,FIBA_championship,FIBA_AmeriCup,slam_dunk_contest_championship,3point_contest_championship,skills_challenge_championship,hall_of_fame,sixth_man_of_the_year,most_improved_player,sportsmanship_award,best_manager,best_coach,best_teammate,hustle_award,kennedy_citizenship_award,magic_johnson_award,Naismith_trophy,lifetime_achievement_award,rematch_MVP,75_stars,sportsman_of_year_Laureus,sportsman_of_year_Laureus_nominated,sportsperson_of_year_SI,USA_Basketball_Male_Athlete_of_Year,century_player,ESPY_male_athlete,ESPY_NBA,ESPY_breakthrough,ESPY_outstanding_team,ESPY_record_breaking,Gatorade_Player_of_Year,Gatorade_Athlete_of_Year,BET_Awards,hickok_belt,Jackie_Robinson_Sports_Award,Jordan_Brand_Classic_co_MVP,Associated_Press_Athlete_of_the_Year,The_Sporting_News_Athlete_of_the_Year,total_score,total_rebound,total_assist,total_steal,total_block,ave_score,ave_rebound,ave_assist,ave_steal,ave_block,total_score_playoff,total_rebound_playoff,total_assist_playoff,total_steal_playoff,total_block_playoff,ave_score_playoff,ave_rebound_playoff,ave_assist_playoff,ave_steal_playoff,ave_block_playoff
,,,,,,,,championships,FMVP,MVP,MVP,MVP,western_conference_champions,eastern_conference_champions,western_playoffs_mvp,eastern_playoffs_mvp,in_season_tournament_championship,IMVP,in_season_team,leading_scores,leading_scores,leading_scores,leading_rebounds,leading_rebounds,leading_rebounds,leading_assists,leading_assists,leading_assists,leading_steals,leading_steals,leading_steals,leading_blocks,leading_blocks,leading_blocks,DPOY,DPOY,DPOY,rookie_of_year,all_rookie_team_1,all_rookie_team_2,rookie_challenge_MVP,all_NBA_team_1,all_NBA_team_2,all_NBA_team_3,all_defensive_team_1,all_defensive_team_2,all_star_voting,all_star_voting,all_star_voting,western_all_star,eastern_all_star,AMVP,ABA_championship,ABA_playoff_MVP,ABA_MVP,ABA_rookie_of_year,all_ABA_team_1,ABA_all_defensive_team_1,all_ABA_team_2,ABA_all_rookie_team_1,monthly_best,weekly_best,rookie_of_month,Olympic_gold,FIBA_championship,FIBA_AmeriCup,slam_dunk_contest_championship,3point_contest_championship,skills_challenge_championship,hall_of_fame,sixth_man_of_the_year,most_improved_player,sportsmanship_award,best_manager,best_coach,best_teammate,hustle_award,kennedy_citizenship_award,magic_johnson_award,Naismith_trophy,lifetime_achievement_award,rematch_MVP,75_stars,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsperson_of_year_SI,USA_Basketball_Male_Athlete_of_Year,century_player,ESPY_male_athlete,ESPY_NBA,ESPY_male_athlete,ESPY_male_athlete,ESPY_male_athlete,Gatorade_Player_of_Year,Gatorade_Athlete_of_Year,BET_Awards,hickok_belt,Jackie_Robinson_Sports_Award,Jordan_Brand_Classic_co_MVP,Associated_Press_Athlete_of_the_Year,The_Sporting_News,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,70,65,80,58,40,70,65,49,46,50,50,60,57,44,36,57,44,36,57,44,36,57,44,36,57,44,36,68,48,30,65,65,65,65,70,60,60,60,60,60,42,30,60,60,52,75,50,55,50,60,60,60,60,30,25,28,50,50,35,60,51,47,50,50,50,50,70,70,50,50,50,50,50,50,50,70,70,30,38,33,35,32,25,25,25,25,33,50,35,60,30,40,50,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Michael Jordan,1,retired,21,40,1984,2003,15,6,6,5,3,2,0,6,,,,,,10,0,1,0,0,0,0,0,0,3,1,3,0,0,0,1,1,1,1,1,0,0,10,1,0,9,0,9,2,0,0,14,3,,,,,,,,,16,25,3,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,4,0,0,,,,,,1,,3,0,32292,6672,5633,2514,893,30.1,6.2,5.3,2.3,0.8,5987,1152,1022,376,158,33.4,6.4,5.7,2.1,0.9
LeBron James,2,playing,18,39,2003,2024,20,4,4,4,4,4,1,9,0,0,1,1,1,1,3,6,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,1,1,0,0,13,3,2,5,1,10,5,3,6,14,3,,,,,,,,,40,67,6,2,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,1,0,3,7,1,3,1,2,1,9,2,1,1,4,1,40000,11000,10800,2250,1100,27.2,7.5,7.3,1.5,0.8,8022,2549,2023,471,270,28.4,9,7.2,1.7,1
Kareem Abdul-Jabbar,3,retired,22,42,1969,1989,20,6,2,6,1,2,10,0,,,,,,2,3,3,1,1,3,0,0,0,0,0,0,4,3,2,0,0,0,1,1,0,0,10,5,0,5,6,0,2,0,13,6,0,,,,,,,,,2,7,,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,,0,,,,,,,,,,,,,0,38387,17440,5660,1160,3189,24.6,11.2,3.6,0.9,2.6,5762,2481,767,189,476,24.3,10.5,3.2,0.8,2
Bill Russell,4,retired,22,35,1956,1969,13,11,,5,2,2,0,12,,,,,,0,0,0,4,6,2,0,0,0,,,,,,,,,,0,,,0,3,8,0,1,0,,,,0,12,1,,,,,,,,,,,,1,,,,,,1,,,,0,0,,,,,0,1,,1,,,1,,0,,,,,,,,,,,,,0,14552,21620,4100,-1,-1,15.1,22.5,4.3,-1,-1,2673,4104,770,-1,-1,16.2,24.9,4.7,-1,-1
Magic Johnson,5,retired,20,37,1979,1996,13,5,3,3,2,4,9,0,,,,,,0,0,0,0,0,0,4,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,2,3,3,10,0,2,,,,,,,,,5,18,,1,0,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,,,0,1,0,,,,,,,,,,1,,,0,17707,6559,10141,1724,374,19.5,7.2,11.2,1.9,0.4,3701,1465,2346,358,64,19.5,7.7,12.3,1.9,0.3
Tim Duncan,9,retired,21,40,1997,2016,19,5,3,2,2,1,6,0,,,,,,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,2,1,1,0,0,10,2,3,8,7,0,0,0,15,0,1,,,,,,,,,3,23,6,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,,,,,,,,,,,0,26496,15091,4225,1025,3020,19,10.8,3,0.7,2.2,5172,2859,764,168,568,20.6,11.4,3,0.7,2.3
Wilt Chamberlain,,retired,23,37,1959,1973,14,2,1,4,2,1,4,1,,,,,,7,0,2,11,2,0,1,0,1,,,,,,,,,,1,,,0,7,3,0,2,0,,,,7,6,1,,,,,,,,,,,,0,,,,,,1,,,,0,0,,,,,,0,,1,,,0,,0,,,,,,,,,,,,,0,31419,23924,4643,-1,-1,30.1,22.9,4.4,-1,-1,3607,3913,673,-1,-1,22.5,24.5,4.2,-1,-1
Larry Bird,,retired,23,36,1979,1992,13,3,2,3,4,1,0,5,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9,1,0,0,3,0,2,1,0,12,1,,,,,,,,,7,15,,1,0,,0,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,,,0,1,0,,,,,,,,,,,,1,0,21791,8974,5695,1556,755,24.3,10,6.3,1.7,0.8,3897,1683,1062,296,145,23.8,10.3,6.5,1.8,0.9
